ID,LAT,LONG,TYPE,DISPLAY
ABLEG,40.722778,-8.431111,INT,true
ADNOV,41.518333,-8.753056,INT,true
AKULU,40.984167,-8.611944,INT,true
BELDU,41.358611,-7.777222,INT,true
CANAR,41.385833,-7.469722,INT,true
DIVUT,41.028611,-8.325833,INT,true
ELGIX,41.521111,-7.673056,INT,true
IBERO,41.345556,-7.919722,INT,true
INKIT,41.180278,-7.890833,INT,true
MANIK,40.691944,-8.616111,INT,true
MAPOR,41.614167,-8.058333,INT,true
MEDAS,41.057333,-8.455333,VFR,true
PESUL,40.881944,-8.115,INT,true
RELVA,41.852778,-8.5975,INT,true
STIRS,41.3425,-8.476333,VFR,true
ULVAX,41.004167,-7.834444,INT,true
VALON,41.1911666666667,-8.49783333333333,VFR,true
VASIP,41.555,-8.376111,INT,true
